,batchsize,dataset,dropout,embeddings,epochs,lr,n_hidden_layers,n_hidden_units,rnn_type,Validation Loss,Validation Cohen
0,128,local_mispelled,0.4,sswe,100,0.0001,1,128,GRU,0.15053987718386458,0.7831912272796473
1,128,global_mispelled,0.4,sswe,100,0.0001,1,128,GRU,0.15053987718386458,0.7831912272796473
2,128,local_mispelled,0.4,sswe,100,0.0001,1,128,LSTM,0.15543427938498514,0.7709413706219221
3,128,global_mispelled,0.4,sswe,100,0.0001,1,128,LSTM,0.15543427938498514,0.7709413706219221
4,128,local_mispelled,0.4,sswe,100,0.0001,1,128,BLSTM,0.1524335805735836,0.778548014993868
5,128,global_mispelled,0.4,sswe,100,0.0001,1,128,BLSTM,0.1524335805735836,0.778548014993868
